Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low
6.0,5.0,,,,,11.0,16.0,19.0,22.0,,,,,35.0,30.0,9.0,19.0,,,,,22.0,28.0,18.0,9.0,,,,,32.0,21.0,15.0,26.0,,,,,24.0,47.0,12.0,8.0,,,,,18.0,15.0,17.0,10.0,,,,,29.0,22.0,9.0,12.0,,,,,21.0,21.0
5.0,11.0,,,,,11.0,21.0,15.0,11.0,,,,,30.0,26.0,23.0,11.0,,,,,34.0,29.0,16.0,10.0,,,,,27.0,17.0,14.0,18.0,,,,,28.0,27.0,13.0,21.0,,,,,16.0,33.0,12.0,7.0,,,,,19.0,22.0,7.0,10.0,,,,,17.0,25.0
16.0,9.0,,,,,21.0,20.0,9.0,12.0,,,,,21.0,24.0,18.0,15.0,,,,,32.0,34.0,18.0,14.0,,,,,28.0,26.0,17.0,14.0,,,,,24.0,25.0,12.0,17.0,,,,,20.0,24.0,16.0,6.0,,,,,23.0,15.0,9.0,10.0,,,,,17.0,23.0
23.0,21.0,,,,,30.0,33.0,14.0,22.0,,,,,24.0,36.0,13.0,17.0,,,,,27.0,34.0,17.0,14.0,,,,,23.0,28.0,23.0,15.0,,,,,35.0,26.0,16.0,23.0,,,,,33.0,34.0,11.0,11.0,,,,,23.0,27.0,17.0,12.0,,,,,22.0,28.0
16.0,8.0,,,,,27.0,14.0,13.0,19.0,,,,,28.0,40.0,11.0,14.0,,,,,25.0,38.0,14.0,19.0,,,,,30.0,30.0,16.0,13.0,,,,,25.0,25.0,15.0,13.0,,,,,28.0,21.0,7.0,9.0,,,,,23.0,25.0,22.0,13.0,,,,,40.0,31.0
13.0,11.0,,,,,23.0,20.0,13.0,15.0,,,,,18.0,26.0,14.0,11.0,,,,,23.0,18.0,7.0,13.0,,,,,11.0,23.0,17.0,9.0,,,,,34.0,23.0,23.0,17.0,,,,,36.0,20.0,7.0,7.0,,,,,16.0,19.0,11.0,5.0,,,,,23.0,18.0
18.0,18.0,,,,,35.0,30.0,10.0,12.0,,,,,20.0,27.0,9.0,12.0,,,,,29.0,27.0,21.0,17.0,,,,,31.0,32.0,19.0,11.0,,,,,30.0,26.0,25.0,19.0,,,,,35.0,29.0,17.0,6.0,,,,,23.0,15.0,9.0,9.0,,,,,21.0,14.0
12.0,18.0,,,,,18.0,32.0,15.0,18.0,,,,,35.0,45.0,24.0,18.0,,,,,40.0,39.0,16.0,17.0,,,,,26.0,37.0,19.0,24.0,,,,,39.0,34.0,25.0,23.0,,,,,40.0,28.0,15.0,9.0,,,,,37.0,23.0,13.0,7.0,,,,,35.0,23.0
12.0,10.0,,,,,23.0,19.0,16.0,14.0,,,,,26.0,34.0,22.0,7.0,,,,,41.0,31.0,12.0,17.0,,,,,30.0,34.0,20.0,10.0,,,,,39.0,30.0,12.0,10.0,,,,,33.0,15.0,14.0,15.0,,,,,41.0,33.0,15.0,19.0,,,,,30.0,41.0
16.0,15.0,,,,,25.0,34.0,10.0,16.0,,,,,32.0,51.0,17.0,19.0,,,,,43.0,55.0,28.0,24.0,,,,,56.0,52.0,16.0,10.0,,,,,40.0,33.0,18.0,12.0,,,,,34.0,21.0,18.0,19.0,,,,,43.0,44.0,19.0,18.0,,,,,39.0,37.0
23.0,18.0,,,,,63.0,65.0,26.0,13.0,,,,,78.0,64.0,24.0,17.0,,,,,102.0,101.0,18.0,33.0,,,,,85.0,102.0,20.0,13.0,,,,,84.0,75.0,16.0,15.0,,,,,71.0,54.0,20.0,14.0,,,,,80.0,64.0,12.0,13.0,,,,,92.0,60.0
11.0,13.0,,,,,,,16.0,22.0,,,,,,,14.0,28.0,,,,,,,27.0,14.0,,,,,,,27.0,25.0,,,,,,,12.0,10.0,,,,,,,17.0,13.0,,,,,,,23.0,20.0,,,,,,
10.0,10.0,,,,,,,17.0,23.0,,,,,,,22.0,31.0,,,,,,,26.0,20.0,,,,,,,18.0,25.0,,,,,,,14.0,5.0,,,,,,,18.0,12.0,,,,,,,18.0,11.0,,,,,,
6.0,10.0,,,,,,,27.0,17.0,,,,,,,28.0,21.0,,,,,,,25.0,26.0,,,,,,,21.0,23.0,,,,,,,22.0,3.0,,,,,,,12.0,17.0,,,,,,,28.0,16.0,,,,,,
31.0,36.0,,,,,,,39.0,51.0,,,,,,,55.0,61.0,,,,,,,65.0,81.0,,,,,,,47.0,51.0,,,,,,,31.0,16.0,,,,,,,56.0,27.0,,,,,,,48.0,32.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,2.0,4.0,,,,
