Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low,Daily_high,Daily_low,Asia_high,Asia_low,London_high,London_low,NY_high,NY_low
9.0,5.0,48.0,57.0,,,,,7.0,8.0,61.0,65.0,,,,,13.0,24.0,56.0,78.0,,,,,8.0,10.0,79.0,61.0,,,,,7.0,5.0,60.0,36.0,,,,,8.0,12.0,33.0,48.0,,,,,10.0,29.0,103.0,133.0,,,,,27.0,38.0,158.0,168.0,,,,
5.0,2.0,47.0,54.0,,,,,12.0,3.0,61.0,58.0,,,,,17.0,23.0,75.0,82.0,,,,,9.0,8.0,75.0,59.0,,,,,8.0,5.0,70.0,33.0,,,,,6.0,8.0,41.0,33.0,,,,,8.0,20.0,70.0,77.0,,,,,12.0,16.0,79.0,90.0,,,,
6.0,2.0,38.0,36.0,,,,,15.0,8.0,85.0,69.0,,,,,28.0,30.0,104.0,116.0,,,,,13.0,8.0,102.0,65.0,,,,,9.0,3.0,92.0,49.0,,,,,5.0,5.0,32.0,28.0,,,,,8.0,9.0,90.0,66.0,,,,,5.0,10.0,96.0,98.0,,,,
6.0,7.0,49.0,56.0,,,,,10.0,11.0,81.0,61.0,,,,,18.0,21.0,72.0,82.0,,,,,14.0,8.0,91.0,65.0,,,,,12.0,4.0,66.0,40.0,,,,,11.0,5.0,36.0,38.0,,,,,11.0,11.0,77.0,67.0,,,,,11.0,16.0,89.0,86.0,,,,
4.0,5.0,60.0,51.0,,,,,5.0,7.0,68.0,66.0,,,,,14.0,17.0,78.0,74.0,,,,,9.0,10.0,75.0,82.0,,,,,5.0,6.0,64.0,46.0,,,,,5.0,6.0,33.0,40.0,,,,,14.0,11.0,75.0,81.0,,,,,9.0,14.0,73.0,89.0,,,,
5.0,2.0,60.0,44.0,,,,,8.0,6.0,64.0,81.0,,,,,10.0,7.0,84.0,77.0,,,,,8.0,2.0,79.0,69.0,,,,,4.0,5.0,77.0,50.0,,,,,4.0,11.0,42.0,46.0,,,,,6.0,5.0,63.0,45.0,,,,,5.0,9.0,49.0,64.0,,,,
6.0,1.0,62.0,41.0,,,,,8.0,7.0,89.0,76.0,,,,,10.0,8.0,84.0,78.0,,,,,6.0,7.0,83.0,82.0,,,,,7.0,6.0,78.0,64.0,,,,,4.0,5.0,48.0,35.0,,,,,9.0,4.0,97.0,85.0,,,,,10.0,11.0,97.0,95.0,,,,
5.0,4.0,91.0,120.0,,,,,4.0,3.0,201.0,143.0,,,,,11.0,8.0,168.0,118.0,,,,,2.0,3.0,144.0,133.0,,,,,4.0,6.0,179.0,135.0,,,,,4.0,7.0,92.0,82.0,,,,,3.0,9.0,156.0,137.0,,,,,10.0,5.0,164.0,164.0,,,,
3.0,1.0,,,21.0,24.0,,,9.0,4.0,,,44.0,33.0,,,10.0,9.0,,,56.0,63.0,,,3.0,3.0,,,43.0,53.0,,,4.0,4.0,,,40.0,40.0,,,5.0,6.0,,,62.0,54.0,,,7.0,6.0,,,60.0,47.0,,,9.0,4.0,,,45.0,62.0,,
4.0,2.0,,,27.0,18.0,,,10.0,3.0,,,43.0,20.0,,,11.0,9.0,,,37.0,47.0,,,5.0,3.0,,,37.0,32.0,,,1.0,3.0,,,12.0,28.0,,,7.0,3.0,,,43.0,45.0,,,3.0,5.0,,,39.0,44.0,,,4.0,7.0,,,47.0,53.0,,
4.0,6.0,,,25.0,20.0,,,8.0,3.0,,,32.0,20.0,,,6.0,5.0,,,31.0,37.0,,,3.0,4.0,,,23.0,45.0,,,5.0,7.0,,,23.0,29.0,,,3.0,2.0,,,35.0,33.0,,,4.0,1.0,,,26.0,22.0,,,2.0,3.0,,,31.0,28.0,,
3.0,4.0,,,21.0,15.0,,,1.0,3.0,,,18.0,20.0,,,4.0,5.0,,,23.0,24.0,,,5.0,3.0,,,27.0,18.0,,,3.0,4.0,,,26.0,15.0,,,2.0,8.0,,,28.0,51.0,,,3.0,5.0,,,21.0,25.0,,,1.0,6.0,,,18.0,32.0,,
5.0,8.0,,,24.0,22.0,,,5.0,4.0,,,15.0,14.0,,,8.0,4.0,,,28.0,30.0,,,4.0,5.0,,,23.0,18.0,,,3.0,2.0,,,18.0,20.0,,,7.0,5.0,,,32.0,41.0,,,3.0,4.0,,,21.0,29.0,,,3.0,4.0,,,23.0,20.0,,
10.0,7.0,,,26.0,26.0,,,3.0,1.0,,,11.0,14.0,,,6.0,5.0,,,32.0,16.0,,,1.0,2.0,,,11.0,17.0,,,4.0,4.0,,,13.0,11.0,,,5.0,3.0,,,35.0,35.0,,,5.0,4.0,,,16.0,26.0,,,,1.0,,,14.0,19.0,,
11.0,7.0,,,33.0,25.0,,,1.0,3.0,,,14.0,10.0,,,10.0,6.0,,,25.0,23.0,,,1.0,5.0,,,18.0,26.0,,,3.0,2.0,,,12.0,12.0,,,8.0,1.0,,,27.0,24.0,,,,4.0,,,9.0,20.0,,,1.0,5.0,,,16.0,21.0,,
13.0,5.0,,,36.0,24.0,,,5.0,4.0,,,15.0,13.0,,,3.0,8.0,,,16.0,21.0,,,,4.0,,,11.0,18.0,,,6.0,1.0,,,22.0,9.0,,,2.0,7.0,,,21.0,28.0,,,1.0,2.0,,,16.0,14.0,,,1.0,1.0,,,11.0,13.0,,
19.0,15.0,,,51.0,48.0,,,3.0,4.0,,,14.0,19.0,,,4.0,5.0,,,18.0,25.0,,,5.0,,,,19.0,10.0,,,1.0,2.0,,,11.0,8.0,,,13.0,8.0,,,62.0,48.0,,,1.0,5.0,,,12.0,25.0,,,2.0,5.0,,,22.0,27.0,,
16.0,10.0,,,36.0,34.0,,,2.0,5.0,,,11.0,17.0,,,8.0,4.0,,,20.0,34.0,,,2.0,4.0,,,19.0,16.0,,,3.0,3.0,,,19.0,12.0,,,6.0,10.0,,,37.0,44.0,,,3.0,7.0,,,15.0,20.0,,,2.0,8.0,,,23.0,25.0,,
11.0,22.0,,,23.0,47.0,,,7.0,3.0,,,22.0,13.0,,,7.0,6.0,,,25.0,18.0,,,7.0,4.0,,,23.0,25.0,,,4.0,1.0,,,20.0,12.0,,,10.0,5.0,,,49.0,30.0,,,2.0,6.0,,,28.0,36.0,,,12.0,18.0,,,64.0,60.0,,
20.0,19.0,,,39.0,49.0,,,12.0,5.0,,,29.0,17.0,,,9.0,5.0,,,29.0,25.0,,,3.0,2.0,,,24.0,23.0,,,8.0,5.0,,,27.0,24.0,,,15.0,8.0,,,34.0,33.0,,,2.0,4.0,,,28.0,29.0,,,6.0,11.0,,,32.0,38.0,,
30.0,32.0,,,73.0,67.0,,,10.0,10.0,,,41.0,41.0,,,6.0,11.0,,,36.0,38.0,,,7.0,10.0,,,43.0,39.0,,,8.0,5.0,,,36.0,26.0,,,21.0,16.0,,,72.0,65.0,,,9.0,5.0,,,52.0,44.0,,,11.0,13.0,,,64.0,46.0,,
21.0,23.0,,,43.0,49.0,,,7.0,9.0,,,30.0,37.0,,,9.0,15.0,,,39.0,43.0,,,7.0,8.0,,,31.0,37.0,,,6.0,6.0,,,23.0,24.0,,,15.0,19.0,,,50.0,54.0,,,6.0,7.0,,,28.0,35.0,,,6.0,7.0,,,35.0,37.0,,
19.0,15.0,,,34.0,36.0,,,14.0,12.0,,,34.0,33.0,,,15.0,6.0,,,35.0,31.0,,,12.0,8.0,,,40.0,33.0,,,10.0,11.0,,,28.0,33.0,,,14.0,12.0,,,46.0,45.0,,,9.0,14.0,,,35.0,45.0,,,4.0,14.0,,,27.0,52.0,,
19.0,14.0,,,44.0,32.0,,,13.0,21.0,,,32.0,53.0,,,7.0,12.0,,,24.0,38.0,,,4.0,7.0,,,26.0,27.0,,,21.0,10.0,,,45.0,32.0,,,9.0,13.0,,,35.0,42.0,,,11.0,6.0,,,38.0,28.0,,,5.0,5.0,,,31.0,34.0,,
16.0,21.0,,,35.0,48.0,,,18.0,26.0,,,56.0,83.0,,,9.0,12.0,,,48.0,50.0,,,10.0,8.0,,,48.0,51.0,,,28.0,22.0,,,65.0,70.0,,,9.0,19.0,,,38.0,49.0,,,15.0,16.0,,,54.0,71.0,,,13.0,15.0,,,37.0,57.0,,
18.0,17.0,,,39.0,39.0,,,19.0,20.0,,,49.0,52.0,,,19.0,10.0,,,56.0,44.0,,,15.0,7.0,,,56.0,51.0,,,20.0,15.0,,,52.0,44.0,,,9.0,7.0,,,32.0,27.0,,,10.0,14.0,,,42.0,53.0,,,12.0,10.0,,,34.0,43.0,,
29.0,23.0,,,48.0,47.0,,,18.0,18.0,,,52.0,40.0,,,20.0,11.0,,,42.0,36.0,,,6.0,19.0,,,34.0,46.0,,,18.0,17.0,,,45.0,49.0,,,8.0,8.0,,,31.0,31.0,,,13.0,8.0,,,49.0,33.0,,,6.0,7.0,,,47.0,34.0,,
9.0,12.0,,,34.0,31.0,,,21.0,11.0,,,53.0,48.0,,,12.0,9.0,,,43.0,37.0,,,7.0,15.0,,,38.0,55.0,,,17.0,12.0,,,46.0,51.0,,,8.0,5.0,,,26.0,29.0,,,10.0,11.0,,,43.0,38.0,,,12.0,11.0,,,43.0,40.0,,
12.0,20.0,,,33.0,37.0,,,27.0,17.0,,,64.0,65.0,,,9.0,9.0,,,49.0,42.0,,,13.0,8.0,,,59.0,56.0,,,24.0,21.0,,,63.0,57.0,,,6.0,11.0,,,28.0,33.0,,,10.0,10.0,,,51.0,49.0,,,10.0,9.0,,,56.0,51.0,,
8.0,11.0,,,22.0,29.0,,,18.0,14.0,,,48.0,56.0,,,11.0,10.0,,,39.0,46.0,,,8.0,9.0,,,55.0,41.0,,,10.0,13.0,,,54.0,43.0,,,8.0,11.0,,,28.0,25.0,,,6.0,9.0,,,46.0,45.0,,,10.0,12.0,,,48.0,55.0,,
8.0,10.0,,,26.0,32.0,,,22.0,12.0,,,57.0,47.0,,,12.0,8.0,,,50.0,37.0,,,3.0,6.0,,,42.0,39.0,,,16.0,19.0,,,39.0,61.0,,,8.0,8.0,,,29.0,28.0,,,4.0,7.0,,,44.0,37.0,,,7.0,6.0,,,54.0,40.0,,
9.0,10.0,,,28.0,28.0,,,16.0,11.0,,,49.0,36.0,,,17.0,7.0,,,48.0,45.0,,,6.0,10.0,,,37.0,45.0,,,10.0,10.0,,,41.0,60.0,,,8.0,3.0,,,28.0,28.0,,,6.0,5.0,,,34.0,38.0,,,5.0,4.0,,,31.0,34.0,,
16.0,9.0,,,36.0,23.0,,,17.0,15.0,,,51.0,59.0,,,11.0,9.0,,,34.0,36.0,,,6.0,12.0,,,48.0,51.0,,,19.0,13.0,,,54.0,58.0,,,9.0,8.0,,,31.0,31.0,,,5.0,1.0,,,41.0,34.0,,,9.0,3.0,,,49.0,42.0,,
11.0,8.0,,,30.0,27.0,,,11.0,13.0,,,31.0,44.0,,,6.0,4.0,,,45.0,32.0,,,13.0,7.0,,,46.0,42.0,,,12.0,15.0,,,40.0,63.0,,,7.0,5.0,,,24.0,29.0,,,6.0,9.0,,,35.0,34.0,,,5.0,3.0,,,40.0,34.0,,
11.0,12.0,,,36.0,40.0,,,14.0,9.0,,,56.0,50.0,,,6.0,7.0,,,35.0,36.0,,,16.0,7.0,,,43.0,57.0,,,10.0,12.0,,,56.0,56.0,,,8.0,5.0,,,30.0,27.0,,,4.0,8.0,,,36.0,42.0,,,5.0,6.0,,,48.0,46.0,,
19.0,13.0,,,55.0,43.0,,,11.0,8.0,,,45.0,43.0,,,8.0,11.0,,,38.0,44.0,,,5.0,8.0,,,55.0,45.0,,,4.0,7.0,,,44.0,45.0,,,5.0,6.0,,,26.0,29.0,,,4.0,5.0,,,41.0,34.0,,,4.0,9.0,,,43.0,37.0,,
19.0,24.0,,,49.0,68.0,,,5.0,8.0,,,45.0,55.0,,,9.0,3.0,,,51.0,37.0,,,7.0,17.0,,,53.0,56.0,,,16.0,11.0,,,50.0,54.0,,,4.0,10.0,,,35.0,39.0,,,10.0,2.0,,,63.0,50.0,,,6.0,5.0,,,60.0,42.0,,
18.0,11.0,,,47.0,38.0,,,8.0,7.0,,,60.0,56.0,,,7.0,7.0,,,51.0,53.0,,,9.0,9.0,,,66.0,67.0,,,11.0,7.0,,,61.0,54.0,,,11.0,11.0,,,54.0,52.0,,,3.0,7.0,,,46.0,54.0,,,6.0,6.0,,,59.0,55.0,,
7.0,9.0,,,53.0,52.0,,,11.0,9.0,,,72.0,70.0,,,4.0,6.0,,,44.0,64.0,,,10.0,9.0,,,83.0,69.0,,,17.0,9.0,,,86.0,67.0,,,8.0,7.0,,,62.0,61.0,,,5.0,4.0,,,68.0,68.0,,,3.0,6.0,,,60.0,64.0,,
10.0,15.0,,,141.0,148.0,,,13.0,12.0,,,146.0,147.0,,,6.0,6.0,,,131.0,117.0,,,4.0,6.0,,,134.0,132.0,,,7.0,12.0,,,166.0,168.0,,,6.0,10.0,,,133.0,83.0,,,2.0,2.0,,,99.0,92.0,,,6.0,6.0,,,124.0,102.0,,
